MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://,,,,,,,,,,,34688A,34688A Kichler Chandelier Lt,,,,,,Kichler,Kichler,34688A,,Lighting & Fans>Indoor Lighting>Chandeliers,"Kichler, Chandelier, 34688A, 34688A, 34688 A",CHANDELIER 34688A 34688A,Kichler 34688A Chandelier,"Kichler Chandelier, 34688A, 34688 A Amperage Rating","Chandelier, 34688A","Chandelier, 34688A",,,,,,,,,,,,,,,,,,,,,,,,,,,Model Number,34688A,,Amperage Rating,34688,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39111500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,3000A,3000A Whiteside Router Bit,,,,Whiteside Machine & Repair Co (WHIMA),Whiteside Machine & Repair Co,Whiteside,Whiteside,3000A,,Tools & Equipment>Power Tool Accessories>Router Bits,"Whiteside Machine & Repair Co Whiteside, Router Bit, 3000A, 3000 A",ROUTER BIT 3000A,Whiteside 3000A Router Bit,"Whiteside Router Bit, 3000 A Amperage Rating",Router Bit,Router Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,Amperage Rating,3000,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27112806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,S3720,S3720 40w Inc A15 Med 26k,,,Satco,Satco Prod Inc (5573),Satco Prod Inc,Satco,,S3720,,Lighting & Fans>Light Bulbs>Incandescent Bulbs,"Satco Prod Inc Satco, Incandescent Bulb, S3720, S3720, 40 w, A15",INCANDESCENT BULB S3720 40W A15 MED 26K,Satco S3720 Incandescent Bulb,"Satco Incandescent Bulb, S3720, 40 w Wattage, A15, Med, 26k","Incandescent Bulb, S3720, 40 w, A15","Incandescent Bulb, S3720, 40 w, A15",,,,,,,,,,,,,,,,,,,,,,,,,,,Model Number,S3720,,Wattage,40,w,Bulb Shape,A15,,Base Type,Med,,Color Temperature,26k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39101601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://kichler.com,,,,,,,,,,,34686A,34686A Kichler Chandelier Lt,,,,Kichler Lighting (KICLI),Kichler Lighting,Kichler,Kichler,34686A,,Lighting & Fans>Indoor Lighting>Chandeliers,"Kichler Lighting Kichler, Chandelier, 34686A, 34686A, 34686 A",CHANDELIER 34686A 34686A,Kichler 34686A Chandelier,"Kichler Chandelier, 34686A, 34686 A Amperage Rating","Chandelier, 34686A","Chandelier, 34686A",,,,,,,,,,,,,,,,,,,,,,,,,,,Model Number,34686A,,Amperage Rating,34686,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39111500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://kichler.com,,,,,,,,,,,34687A,34687A Kichler Chandelier Lt,,,,Kichler Lighting (KICLI),Kichler Lighting,Kichler,Kichler,34687A,,Lighting & Fans>Indoor Lighting>Chandeliers,"Kichler Lighting Kichler, Chandelier, 34687A, 34687A, 34687 A",CHANDELIER 34687A 34687A,Kichler 34687A Chandelier,"Kichler Chandelier, 34687A, 34687 A Amperage Rating","Chandelier, 34687A","Chandelier, 34687A",,,,,,,,,,,,,,,,,,,,,,,,,,,Model Number,34687A,,Amperage Rating,34687,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39111500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,49-94-0058,"49-94-0058 Milwaukee 12""x1/8""x20mm Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,Milwaukee,49-94-0058,,Tools & Equipment>Abrasives>Cut-Off Wheels,"Milwaukee Accessory Milwaukee, cut off disc, 49-94-0058, 12 in, 1/8 in, 20 mm",CUT OFF DISC 12IN 1/8IN 20MM,Milwaukee 49-94-0058 cut off disc,"Milwaukee cut off disc, 12 in Diameter, 1/8 in Thickness, 20 mm Arbor","cut off disc, 12 in, 1/8 in, 20 mm","cut off disc, 12 in, 1/8 in, 20 mm",,,,,,,,,,,,,,,,,,,,,,,,Metal,,,Diameter,12,in,Thickness,1/8,in,Arbor,20,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,49-94-0068,"49-94-0068 Milwaukee 14""x1/8""x20mm Metal Cut Off Disc",,,,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,Milwaukee,49-94-0068,,Tools & Equipment>Abrasives>Cut-Off Wheels,"Milwaukee Accessory Milwaukee, cut off disc, 49-94-0068, 14 in, 1/8 in, 20 mm",CUT OFF DISC 14IN 1/8IN 20MM,Milwaukee 49-94-0068 cut off disc,"Milwaukee cut off disc, 14 in Diameter, 1/8 in Thickness, 20 mm Arbor","cut off disc, 14 in, 1/8 in, 20 mm","cut off disc, 14 in, 1/8 in, 20 mm",,,,,,,,,,,,,,,,,,,,,,,,Metal,,,Diameter,14,in,Thickness,1/8,in,Arbor,20,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://black.com,,,,,,,,,,,DCG410B,"DCG410B Dewalt 20V 4-1/2""-5"" - Angle Grinder (Bare)",,,DEWALT,Black & Decker/dewlt (2585),Black & Decker/dewlt,Dewalt,Dewalt,DCG410B,,Tools & Equipment>Power Tools>Angle Grinders,"Black & Decker/dewlt Dewalt, angle grinder, DCG410B, 4-1/2 in, 20 V, 5 in",ANGLE GRINDER 4-1/2IN 20V 5IN,Dewalt DCG410B angle grinder With Bare,"Dewalt angle grinder With Bare, 4-1/2 in Diameter, 20 V Voltage Rating, 5 in Arbor","angle grinder, 4-1/2 in, 5 in","angle grinder, 4-1/2 in, 5 in",Bare,,,,,,,,,,,,,,,,,,,,With Bare,,,,,,Diameter,4-1/2,in,Voltage Rating,20,V,Arbor,5,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27112705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mirka.com,,,,,,,,,,,24-35M-320,"24-35M-320 Iridium Grip - 3.2"" x 5.2"" Grip",,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka,Mirka,24-35M-320,,Hardware>Abrasives>Sanding Sheets,"Mirka Abrasives Inc Mirka, sanding sheet, Iridium Grip, 24-35M-320",SANDING SHEET 3.2IN 5.2IN 3.2IN 5.2IN,Mirka Iridium Grip 24-35M-320 sanding sheet With Grip backing,"Mirka sanding sheet With Grip backing, Iridium Grip, 3.2 in Length, 5.2 in Width, 3.2 in Diameter, 5.2 in Arbor","Iridium Grip sanding sheet, 3.2 in, 5.2 in, 3.2 in","Iridium Grip sanding sheet, 3.2 in, 5.2 in, 3.2 in",Grip backing,,,,,,,,,,,,,,,,,,,,With Grip backing,,,,,,Length,3.2,in,Width,5.2,in,Diameter,3.2,in,Arbor,5.2,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://,,,,,,,,,,,SPB-44BPL,"Patriot 4""x4""x37""/43"" Adjustable Self Leveling Support Post",,,,,,Patriot,Patriot,SPB-44BPL,,Building Materials>Structural Components>Support Posts & Columns,"Patriot, support post, SPB-44BPL, 4 in, 4 in, 37-43 in",SUPPORT POST 4IN 4IN 37-43IN 4IN 4IN,Patriot SPB-44BPL support post With Adjustable,"Patriot support post With Adjustable, 4 in Width, 4 in Depth, 37-43 in Adjustable height range, 4 in Diameter, 4 in Thickness, 37 in Arbor","support post, 4 in, 4 in, 37-43 in","support post, 4 in, 4 in, 37-43 in",Adjustable,Self leveling,,,,,,,,,,,,,,,,,,,With Adjustable,,,,,,Width,4,in,Depth,4,in,Adjustable height range,37-43,in,Diameter,4,in,Thickness,4,in,Arbor,37,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30103600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
